Superhero Name,Superpower,Power Level,Catchphrase
Captain Thunder,Bolt Manipulation,90,"Feel the power of the storm!"
Silver Falcon,Flight and Agility,85,"Soar high, fearlessly!"
Mystic Shadow,Invisibility and Illusions,78,"Disappear into the darkness!"
Blaze Runner,Pyrokinesis,88,"Burn bright and fierce!"
Electra-Wave,Electric Manipulation,82,"Unleash the electric waves!"
Crimson Cyclone,Super Speed,91,"Blazing fast and unstoppable!"
Aqua Fury,Hydrokinesis,80,"Ride the waves of power!"
Lunar Guardian,Lunar Manipulation,77,"Embrace the moon's might!"
Steel Titan,Super Strength and Durability,95,"Indestructible force of nature!"
Nightblade,Night Vision and Stealth,84,"Strike from the shadows!"
Frostbite,Ice Manipulation,87,"Chill your bones!"
Starburst,Energy Projection,83,"Ignite the cosmos!"
Sonic Dash,Sound Manipulation,86,"Hear the sound of victory!"
Nova Surge,Energy Absorption and Redirection,89,"Harness the energy within!"
Shadowcat,Intangibility,76,"Phase through the impossible!"
Neon Spark,Light Manipulation,79,"Glow and dazzle!"
Phoenix Flame,Resurrection and Healing,94,"Rise from the ashes!"
Crystal Guardian,Crystallokinesis,81,"Shatter your illusions!"
Earthshaker,Geokinesis,92,"Feel the earth tremble beneath you!"
Silver Seraph,Telekinesis,85,"Move objects with your mind!"
Stormbringer,Weather Manipulation,93,"Unleash the storm's fury!"
Scarlet Siren,Mind Control,88,"Obey my commands!"
Rift Walker,Dimensional Travel,90,"Step between worlds!"
Chrono-Wizard,Time Manipulation,91,"Master of time's flow!"
Blazing Comet,Fireball Projection,82,"Burn brighter than a comet!"
Phantom Wisp,Invisibility,75,"Disappear like a wisp in the wind!"
Luminous Knight,Luminokinesis,78,"Illuminate the darkest night!"
Gravity Shift,Gravity Manipulation,89,"Bend gravity to your will!"
Solar Empress,Solar Energy Absorption,87,"Harness the power of the sun!"
Twilight Specter,Shadow Manipulation,80,"Dance with shadows!"
Thunderstrike,Lightning Control,91,"Electrify the battlefield!"
Nebula Weaver,Reality Warping,96,"Shape the fabric of reality!"
Frostglide,Cryo-Teleportation,85,"Freeze and glide through space!"
Zenith Blaze,Heat Vision,83,"Gaze into the flames of justice!"
Astral Drifter,Astral Projection,79,"Roam the astral plane!"
Blade Dancer,Swordsmanship and Agility,88,"Dance with deadly grace!"
Azure Tempest,Water Manipulation,82,"Unleash the tempest's rage!"
Ghost Sentinel,Intangibility and Invisibility,76,"Haunt your nightmares!"
Ember Fox,Pyrokinetic Fox Shapeshifter,89,"Outfox your enemies with fire!"
Psy-Bender,Telepathy,84,"Read minds like an open book!"
Celestial Sphinx,Cosmic Awareness,93,"Unravel the secrets of the universe!"
Dragonfist,Dragon Summoning and Martial Arts,92,"Unleash the dragon's fury!"
Solar Flare,Solar Energy Projection,85,"Feel the burning light!"
Night Lotus,Darkness Manipulation,78,"Bloom in the shadows!"
Quantum Strider,Quantum Manipulation,90,"Walk the edge of reality!"
Ironclad,Invulnerability and Enhanced Strength,95,"Invincible and mighty!"
Shadow Stalker,Shadow Shifting,81,"Disappear and reappear at will!"
Aqua Archer,Water Arrow Projection,80,"Shoot through water's flow!"
Crystal Gazer,Crystal Ball Scrying,77,"See what the future holds!"
